Actual,Predicted
8556.907,11703.342652063526
7173.35995,7346.629674262498
10579.711,13933.829292808325
19594.80965,31647.225510008917
22218.1149,32520.420052737107
2203.47185,3181.0588934414245
8823.98575,12087.740257477724
9788.8659,8602.383629076663
11363.2832,13619.684533669042
4536.259,10540.912620629279
5152.134,6218.099935740024
8965.79575,8465.28769742999
1728.897,-1698.7230805170166
21677.28345,32816.42313482108
5003.853,5548.213643734984
15161.5344,15454.703540892107
10118.424,11490.72953513745
10564.8845,13314.408344927331
1532.4697,3808.365917908468
34838.873,29034.25541996203
8871.1517,10229.667493224753
17663.1442,27665.48095234888
7640.3092,8212.010797759343
11362.755,14000.831523875375
7222.78625,6866.831412722382
8733.22925,14202.466457002474
8968.33,10486.168123374902
12979.358,15596.312318842327
2459.7201,3856.5535231073463
9391.346,13923.27365391079
6338.0756,8335.836313189055
34779.615,28032.489864973144
22478.6,32548.83286640024
7261.741,10887.861170864182
3353.284,3284.2444851498203
26109.32905,36383.151556600504
11837.16,10605.477246463804
36085.219,30116.91075417919
9620.3307,11466.002701009034
10600.5483,12618.604820819932
27533.9129,35820.660519276076
27037.9141,35419.692455073695
2362.22905,4391.864402429279
6686.4313,6343.630636912463
37829.7242,31998.368750876318
5124.1887,10225.640848936828
9283.562,11179.47913456611
29330.98315,38114.45435567507
44400.4064,36948.11743997125
1137.4697,2668.8033466647776
2201.0971,-233.63049665691688
11436.73815,14671.685924800597
22331.5668,33176.34654045869
9866.30485,13010.54084942678
7740.337,11694.190270357223
4058.71245,6902.65303153347
9541.69555,16280.67362878261
42856.838,36788.49596777759
3490.5491,6451.117069681743
14283.4594,24902.54731230002
10923.9332,13388.919773059823
9850.432,11622.977814876063
9377.9047,10265.940086193967
23065.4207,32571.95291304763
15518.18025,26020.87042116325
4391.652,3043.6492810640284
24106.91255,35007.194223917235
7281.5056,8208.96355770076
1635.73365,2204.268630731578
8457.818,12081.225919244043
9855.1314,7532.3428985680985
12323.936,12061.62758849813
12265.5069,14474.250105638392
48173.361,40368.35711111409
36397.576,28908.94269467722
17081.08,25941.09044428217
25081.76784,600.6871663345573
6186.127,8266.280098558771
9264.797,7283.654194728895
11289.10925,13727.664440345448
1984.4533,7049.794797727223
46889.2612,38942.182331015516
45863.205,37519.06561167625
18765.87545,29532.747691020377
33750.2918,28013.65552540923
11534.87265,9466.059432311135
8765.249,11649.995340607078
9704.66805,14752.888979814175
30184.9367,39533.959408957184
8534.6718,8841.379156007555
7731.85785,11601.63566696371
26926.5144,35643.17654351242
7209.4918,9651.484133583082
7726.854,8532.099742809783
10422.91665,10543.220117492452
13415.0381,10966.651774103837
1719.4363,1460.0626927342782
39556.4945,35243.06284664128
8277.523,9208.385536778598
7160.094,10749.75495149268
39241.442,32755.55543452262
12925.886,12681.72601205697
19361.9988,29631.190953094374
1639.5631,3102.3675382978854
2203.73595,3242.996749135653
8605.3615,6429.943841281178
3987.926,6090.500306841624
6360.9936,12122.692032378312
2404.7338,5322.866853952386
3208.787,1021.1643017914121
14711.7438,25204.614957392987
46200.9851,37907.88115677738
12129.61415,12926.957717809739
11163.568,13673.455991757612
40904.1995,33520.03651025627
37133.8982,30054.859900730342
5267.81815,6347.631492398409
9101.798,8706.533385219747
10797.3362,12689.65346550824
3693.428,10137.366036484545
4673.3922,8091.346723314742
11286.5387,12720.176932861574
27117.99378,8427.668410756713
28950.4692,37885.09828830701
23045.56616,12279.860153534304
4260.744,5492.704335095283
13981.85035,17035.98140594232
2250.8352,3792.2355908096542
4738.2682,7375.87335481754
1824.2854,3360.829427223778
3943.5954,6385.292047126611
11658.37915,12639.843721758498
10450.552,14671.6497681383
17361.7661,28847.67573478954
5377.4578,9021.5982435788
40273.6455,34005.06857640441
7050.0213,10326.957686171943
21797.0004,14815.3373331968
9617.66245,11057.563778948906
12957.118,10380.492891959955
1694.7964,-1460.8385772585625
4746.344,5650.615931798112
2632.992,3677.2948466817707
21595.38229,272.5515382693284
12224.35085,12508.346376991867
16138.76205,28141.191100199445
12029.2867,10763.3126955228
2134.9015,4616.40329643935
4462.7218,7980.298262718096
11187.6567,12973.771215686133
2196.4732,1539.7057175443788
36149.4835,27962.94625371248
7537.1639,9274.480676940902
12982.8747,15916.041064123314
10704.47,11552.242445973065
5469.0066,7092.685611136732
4040.55825,6086.241724984048
4433.3877,6958.769104257109
2730.10785,6512.705145074764
9432.9253,17204.810602213
5383.536,6181.3502561926525
27322.73386,12565.565668478459
2534.39375,6305.670685485985
40419.0191,33411.14378263824
7201.70085,7824.31739060335
4830.63,6763.605454718136
46599.1084,38806.664999446686
13112.6048,12172.5053440316
3277.161,7088.228107093367
17178.6824,27173.918001467926
1627.28245,222.25724851627638
8252.2843,8031.701630493335
15359.1045,26186.222393460826
4149.736,6104.258362357008
9048.0273,12300.575638807035
6985.50695,7006.4169284380205
19964.7463,31707.787898712282
12142.5786,10769.61121947666
5240.765,6949.499138580679
2899.48935,6031.130261873008
3500.6123,6457.2654004946635
4837.5823,6182.662286154809
1704.70015,861.831011274995
18963.17192,7667.815871460585
2974.126,2176.8148091952044
5354.07465,4925.306122332526
36580.28216,15294.766736083347
30063.58055,16119.02367404091
11881.9696,11811.388286915522
15170.069,17961.296947553008
7337.748,8673.51151470392
3736.4647,4246.636175268153
4906.40965,3239.0560562362934
10325.206,14265.77330334885
12950.0712,16575.46942079861
47928.03,39889.41539677693
7345.7266,10039.664032503184
7986.47525,7740.407707431045
5002.7827,4792.179632221481
19199.944,29577.37697081508
5649.715,8136.816565144597
2416.955,5167.224574075208
5757.41345,12708.255047299182
17352.6803,27084.58768999581
5699.8375,8369.408168135284
13224.693,12707.849976345726
1634.5734,4596.844771815031
47403.88,39895.884975101784
1682.597,5867.888810013619
2117.33885,497.5358927731777
21978.6769,32196.29524307273
1837.237,670.4442229049328
6753.038,5045.180978235034
4877.98105,5157.640427141459
34254.05335,29502.89391897538
4762.329,9399.486144869818
12557.6053,12930.4504183621
1711.0268,-512.1690280556195
20009.63365,31027.62879603201
6123.5688,7325.059001455197
2855.43755,5329.618643420061
26018.95052,5213.385642486835
4151.0287,5902.405164949759
4074.4537,5319.765177105633
12949.1554,14073.19081420693
22462.04375,33476.903952858695
5325.651,6496.799770728886
8269.044,7219.854380279696
10560.4917,12223.227322630555
6710.1919,7208.380540028194
36124.5737,29491.73820446669
48517.56315,41337.4681626763
14571.8908,26092.870149425704
6457.8434,8496.501937168723
1241.565,-1335.0638449808266
7358.17565,10104.798868765338
4463.2051,8225.468072257547
1704.5681,830.862083427879
2867.1196,3416.7115390025465
4827.90495,3164.4098624017042
3410.324,8322.845523297789
4399.731,5812.7266424658355
39047.285,34349.855715548474
34439.8559,27004.073457893894
14901.5167,18159.994674509566
1621.3402,-1171.3445046038596
16796.41194,6119.590729434625
8162.71625,10425.148180642112
2104.1134,3036.4077500406547
33900.653,28122.4189725155
1748.774,2962.9155322591014
5989.52365,10115.088044792707
4296.2712,2198.2015358693698
19214.70553,8188.718392710172
9630.397,11691.394413583563
6877.9801,4827.953022811458
3556.9223,6835.452541987474
1631.6683,3915.528359178523
1391.5287,2830.8657514969655
3558.62025,3913.599602328073
34166.273,27992.95543910133
4441.21315,5925.575302777889
6356.2707,12603.028581807193
13429.0354,14249.358125897928
44202.6536,37047.68478575118
1621.8827,1620.5678113502781
10141.1362,12502.35074280965
13462.52,14254.686940765694
42983.4585,36841.008287955054
8334.5896,11967.306252456392
7323.734819,2871.3696149702846
44501.3982,34545.28372696797
22412.6485,34209.929207748646
7512.267,8829.174417572334
5438.7491,10762.631306346513
12829.4551,24331.973889494882
12495.29085,15266.847343363439
1625.43375,-211.30774134332205
2731.9122,1961.6271414627972
1977.815,3063.45391580646
40103.89,34283.50860600883
2304.0022,860.9209343206549
4320.41085,8710.533498116793
10065.413,8478.330174844425
12928.7911,13363.042424693482
6770.1925,7044.759701445507
15230.32405,18118.27310170883
